Role,TimeofDay,DayofWeek,MMR,PartySize,QueueDuration
0, 0.6872337962962963, 0.375, 0.35, 0.8, 50
0, 0.1512962962962963, 0.25, 0.35, 0.6, 36
0, 0.5217013888888888, 0.0, 0.15, 0.2, 11
1, 0.45135416666666667, 0.25, 0.4, 0.2, 17
0, 0.21385416666666668, 0.375, 0.05, 0.6, 62
0, 0.6586458333333334, 0.375, 0.5, 0.8, 52
0, 0.1910300925925926, 0.625, 0.75, 0.6, 57
1, 0.2787615740740741, 0.625, 0.25, 0.2, 32
0, 0.16881944444444444, 0.375, 0.3, 0.8, 119
0, 0.013784722222222223, 0.125, 0.05, 0.4, 18
0, 0.15350694444444443, 0.125, 0.6, 0.4, 66
1, 0.7845486111111111, 0.125, 0.2, 0.2, 36
0, 0.6023148148148149, 0.125, 0.9, 0.8, 43
0, 0.445, 0.375, 0.85, 0.2, 55
0, 0.44449074074074074, 0.875, 0.95, 0.4, 34
1, 0.9896990740740741, 0.375, 0.2, 0.2, 40
0, 0.41717592592592595, 0.0, 0.3, 0.2, 63
0, 0.7396990740740741, 0.75, 0.45, 0.4, 68
0, 0.2037037037037037, 0.625, 0.5, 0.4, 39
1, 0.9934259259259259, 0.75, 0.4, 0.2, 37
0, 0.72875, 0.875, 0.8, 0.6, 26
0, 0.2447800925925926, 0.625, 0.95, 0.4, 29
0, 0.24329861111111112, 0.875, 0.05, 0.8, 21
0, 0.7936342592592592, 0.25, 1.0, 0.6, 36
0, 0.23707175925925925, 0.0, 0.85, 0.4, 57
0, 0.41006944444444443, 0.125, 0.6, 0.4, 49
0, 0.4516087962962963, 0.625, 0.05, 0.2, 143
0, 0.8276967592592592, 0.375, 1.0, 0.2, 151
0, 0.9939236111111112, 0.0, 0.9, 0.8, 61
0, 0.08346064814814814, 0.625, 0.8, 0.2, 38
1, 0.708125, 0.75, 0.35, 0.2, 180
0, 0.8230902777777778, 0.125, 0.25, 0.6, 18
0, 0.902962962962963, 0.125, 0.6, 0.4, 30
0, 0.7010648148148149, 0.875, 0.75, 0.6, 31
0, 0.6600231481481481, 0.125, 0.2, 0.2, 42
0, 0.4766550925925926, 0.625, 0.6, 0.6, 41
0, 0.18733796296296296, 0.875, 0.85, 0.8, 24
0, 0.5745486111111111, 0.375, 0.75, 0.4, 87
0, 0.05071759259259259, 0.625, 0.9, 0.4, 32
0, 0.037141203703703704, 0.75, 0.2, 0.4, 63
0, 0.16172453703703704, 0.875, 0.3, 0.2, 58
1, 0.40802083333333333, 0.625, 0.15, 0.2, 97
0, 0.4372685185185185, 0.625, 0.2, 0.4, 49
0, 0.39077546296296295, 0.875, 1.0, 0.4, 11
0, 0.9690625, 0.25, 1.0, 0.6, 22
1, 0.41207175925925926, 0.875, 0.9, 0.2, 31
1, 0.17515046296296297, 0.875, 0.1, 0.2, 29
0, 0.5744212962962963, 0.625, 0.9, 0.6, 34
0, 0.7239583333333334, 0.0, 0.05, 0.2, 126
1, 0.06471064814814814, 0.875, 0.9, 0.2, 49
0, 0.7627430555555555, 0.625, 0.9, 0.2, 54
0, 0.6543171296296296, 0.0, 0.75, 0.4, 141
0, 0.37332175925925926, 0.0, 0.5, 0.4, 86
0, 0.5092939814814815, 0.25, 0.7, 0.6, 53
0, 0.22449074074074074, 0.0, 0.45, 0.2, 83
0, 0.6202083333333334, 0.25, 0.05, 0.4, 67
1, 0.6253472222222223, 0.875, 0.85, 0.2, 84
0, 0.8675462962962963, 0.375, 0.85, 0.4, 67
1, 0.17828703703703705, 0.375, 0.65, 0.2, 112
0, 0.8080439814814815, 0.875, 0.25, 0.4, 9
1, 0.08234953703703704, 0.0, 0.3, 0.2, 64
1, 0.7237962962962963, 0.875, 0.85, 0.2, 32
0, 0.6528356481481481, 0.75, 0.6, 0.4, 50
0, 0.614375, 0.625, 0.75, 0.6, 125
0, 0.6871875, 0.625, 0.25, 0.2, 43
0, 0.44158564814814816, 0.625, 0.85, 0.4, 81
0, 0.07207175925925927, 0.75, 0.9, 0.6, 105
0, 0.7199074074074074, 0.875, 0.55, 0.2, 80
0, 0.02070601851851852, 0.875, 0.8, 0.2, 21
0, 0.694699074074074, 0.75, 0.5, 0.4, 52
0, 0.8395254629629629, 0.375, 1.0, 0.4, 11
0, 0.30944444444444447, 0.0, 1.0, 0.4, 41
0, 0.7374189814814814, 0.0, 0.6, 0.6, 48
1, 0.5453009259259259, 0.75, 0.3, 0.2, 73
0, 0.8469328703703703, 0.875, 0.25, 0.4, 59
1, 0.22315972222222222, 0.625, 0.55, 0.2, 84
0, 0.9465277777777777, 0.25, 0.1, 0.2, 27
0, 0.9070486111111111, 0.625, 0.15, 0.6, 34
1, 0.9648958333333333, 0.875, 0.65, 0.2, 81
0, 0.19635416666666666, 0.375, 0.4, 0.4, 129
1, 0.05064814814814815, 0.625, 0.5, 0.2, 33
0, 0.30953703703703705, 0.875, 0.2, 0.8, 78
0, 0.03329861111111111, 0.75, 0.35, 0.4, 11
0, 0.41625, 0.0, 0.35, 0.6, 20
1, 0.7801388888888889, 0.75, 0.75, 0.2, 57
0, 0.9570601851851852, 0.125, 0.25, 0.8, 25
0, 0.564212962962963, 0.25, 0.65, 0.8, 26
1, 0.12373842592592593, 0.625, 0.5, 0.2, 44
0, 0.9387847222222222, 0.75, 0.25, 0.6, 14
0, 0.10832175925925926, 0.0, 0.45, 0.2, 146
0, 0.4481597222222222, 0.75, 0.2, 0.4, 32
0, 0.8629166666666667, 0.125, 0.55, 0.8, 22
1, 0.998912037037037, 0.0, 0.45, 0.2, 22
1, 0.24508101851851852, 0.75, 0.6, 0.2, 9
0, 0.020277777777777777, 0.875, 0.85, 0.6, 74
0, 0.1299537037037037, 0.625, 0.8, 0.4, 21
0, 0.6787268518518519, 0.125, 0.4, 0.4, 33
0, 0.07931712962962963, 0.875, 0.3, 0.4, 63
0, 0.6686921296296297, 0.125, 0.05, 0.6, 16
0, 0.5457060185185185, 0.125, 0.75, 0.8, 145
1, 0.5549652777777778, 0.875, 0.8, 0.2, 57
0, 0.4522453703703704, 0.375, 0.5, 0.2, 87
0, 0.8401620370370371, 0.25, 0.5, 0.8, 30
1, 0.7259143518518518, 0.75, 0.2, 0.2, 118
0, 0.03403935185185185, 0.625, 0.7, 0.4, 62
0, 0.012523148148148148, 0.75, 0.3, 0.6, 21
0, 0.2940162037037037, 0.25, 0.9, 0.8, 60
0, 0.6444791666666667, 0.625, 0.65, 0.4, 370
0, 0.4661226851851852, 0.625, 0.15, 0.4, 51
0, 0.9809953703703703, 0.625, 0.5, 0.4, 84
1, 0.7372569444444445, 0.75, 0.95, 0.2, 66
0, 0.7753819444444444, 0.75, 0.95, 0.4, 87
0, 0.6266203703703703, 0.0, 0.35, 0.6, 44
0, 0.4002662037037037, 0.875, 0.4, 0.6, 13
0, 0.9936111111111111, 0.75, 0.05, 0.4, 85
0, 0.18328703703703703, 0.0, 0.5, 0.4, 100
0, 0.7613310185185185, 0.625, 0.3, 0.4, 49
0, 0.8774305555555556, 0.625, 0.5, 0.8, 55
0, 0.3690393518518518, 0.25, 0.2, 0.6, 15
0, 0.459537037037037, 0.875, 0.4, 0.2, 31
